title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
"M 7.6 - 51 km SW of Punta de BombÃ³n, Peru",7.6,2001-07-07 09:38:00,0,,No,0,889,us,0,mwc,33,-17.543,-72.077,"Punta de BombÃ³n, Peru",South America,Peru
"M 6.6 - 31 km S of Achanizo, Peru",6.6,2001-07-05 13:53:00,0,,No,0,670,us,0,mwc,62,-16.086,-73.987,"Achanizo, Peru",South America,Peru
"M 6.7 - 34 km WSW of Pacocha, Peru",6.7,2001-06-26 04:18:00,0,,No,0,691,us,0,mwc,24,-17.745,-71.649,"Pacocha, Peru",South America,Peru
"M 8.4 - 6 km SSW of Atico, Peru",8.4,2001-06-23 20:33:00,0,,No,0,1086,official,0,mww,33,-16.265,-73.641,"Atico, Peru",South America,Peru
"M 6.7 - 128 km SSE of Panguna, Papua New Guinea",6.7,2001-04-19 21:43:00,0,,No,0,691,us,0,mwc,17,-7.41,155.865,"Panguna, Papua New Guinea",Oceania,Papua New Guinea
"M 6.8 - 16 km SSW of Kure, Japan",6.8,2001-03-24 06:27:00,0,,No,0,711,us,0,mwc,50,34.083,132.526,"Kure, Japan",Asia,Japan
"M 6.5 - 41 km SSW of Ambon, Indonesia",6.5,2001-03-19 05:52:00,0,,No,0,650,us,0,mwc,33,-4.029,128.02,"Ambon, Indonesia",Asia,Indonesia
"M 6.8 - 7 km SSE of Longbranch, Washington",6.8,2001-02-28 18:54:00,7,,No,0,1441,uw,0,md,51.798,47.149,-122.727,"Longbranch, Washington",North America,United States
"M 7.1 - 137 km WNW of Ternate, Indonesia",7.1,2001-02-24 07:23:00,0,,No,0,776,us,0,mwc,35,1.271,126.249,"Ternate, Indonesia",Asia,Indonesia
"M 7.4 - 102 km SSE of Bengkulu, Indonesia",7.4,2001-02-13 19:28:00,0,,No,0,842,us,0,mwc,36,-4.68,102.562,"Bengkulu, Indonesia",Asia,Indonesia
"M 6.6 - 5 km S of Cojutepeque, El Salvador",6.6,2001-02-13 14:22:00,0,,No,0,670,us,0,mwc,10,13.671,-88.938,"Cojutepeque, El Salvador",North America,El Salvador
"M 7.7 - 17 km NW of Bhach?u, India",7.7,2001-01-26 03:16:00,0,,No,0,912,us,0,mwc,16,23.419,70.232,"Bhach?u, India",Asia,India
"M 6.9 - 59 km WSW of Bengkulu, Indonesia",6.9,2001-01-16 13:25:00,0,,No,0,732,us,0,mwb,28,-4.022,101.776,"Bengkulu, Indonesia",Asia,Indonesia
"M 7.7 - 28 km SSW of Puerto El Triunfo, El Salvador",7.7,2001-01-13 17:33:00,0,,No,0,912,us,0,mwc,60,13.049,-88.66,"Puerto El Triunfo, El Salvador",North America,El Salvador
"M 6.9 - 47 km S of Old Harbor, Alaska",6.9,2001-01-10 16:02:00,5,,No,0,745,ak,0,mw,36.4,56.7744,-153.281,"Old Harbor, Alaska",North America,United States
"M 7.1 - 16 km NE of Port-Olry, Vanuatu",7.1,2001-01-09 16:49:00,0,,No,0,776,us,0,mwb,103,-14.928,167.17,"Port-Olry, Vanuatu",Oceania,Vanuatu
"M 6.8 - Mindanao, Philippines",6.8,2001-01-01 08:54:00,0,,No,0,711,us,0,mwc,33,6.631,126.899,"Mindanao, Philippines",Asia,Philippines
"M 7.5 - 21 km SE of Lukatan, Philippines",7.5,2001-01-01 06:57:00,0,,No,0,865,us,0,mwc,33,6.898,126.579,"Lukatan, Philippines",Asia,Philippines
